"Component";"ComponentId";"ComponentTypeId";"ComponentTypeName";"JobId";"JobName";"UploadClass";"WhoToNotify";"WhoToNotifyNames";"WhoToNotifyEMails";"WhoToNotifyAdditional";"Execution";"IpOrComputerName";"UploadAgent";"CompareAgent";"LastCheck (local)";"LastCheck (UTC)";"NextStart (local)";"NextStart (UTC)";"JobStart (local)";"JobStart (UTC)";"JobFinish (local)";"JobFinish (UTC)";"ResultVersionVsBackup";"WarningVersionVsBackup";"ErrorVersionVsBackup";"ResultBackupVsPreBackups";"WarningBackupVsPreBackup";"ErrorBackupVsPreBackup";"DirBackup";"TimestampBackup (local)";"TimestampBackup (UTC)";"DirPreBackup";"TimestampPreBackup (local)";"TimestampPreBackup (UTC)";"OutOfDate";"VersionVsBackupVersionNumber";"DeactivatedComment"
"\BMB\FCEV\BPP-Montage\Laser-Welding\20\IPC_Beckhoff\Images";"5002812ADD654F129E1241BF13233C7B";"310DFC71DDDE4A298B567AFECDB16B93";"Images";"9D9CC29447A54D6D871D745384D4C966";"Image_Beckhoff";"DiskImage";"";"";"";"";"0";"";"";"";"2022-11-25T13:13:20+0100";"2022-11-25T12:13:20Z";"";"";"2022-11-25T13:13:20+0100";"2022-11-25T12:13:20Z";"2022-11-25T13:13:32+0100";"2022-11-25T12:13:32Z";"1";"";"Error connecting to target system [Provider: ][Error text: ]";"1";"";"Error connecting to target system [Provider: ][Error text: ]";"";"";"";"";"";"";"N";"";""
"\BMB\FCEV\BPP-Montage\Laser-Welding\10\IPC_Vision\Images";"A27DCED83F814BE598C1B4DD0D8ADB19";"310DFC71DDDE4A298B567AFECDB16B93";"Images";"14495EE4849D48E1BF2CECBC8EF15BA8";"Image_Vision";"DiskImage";"";"";"";"";"0";"";"";"";"2022-11-25T13:14:06+0100";"2022-11-25T12:14:06Z";"";"";"2022-11-25T13:14:06+0100";"2022-11-25T12:14:06Z";"2022-11-25T13:14:40+0100";"2022-11-25T12:14:40Z";"1";"";"Error connecting to target system [Provider: ][Error text: ]";"1";"";"Error connecting to target system [Provider: ][Error text: ]";"";"";"";"";"";"";"N";"";""
"\BMB\CRI3\12_SMM\12_HVL\010\Safety_Validation_W4370";"0057AB6A3DE1496EB267BE61280222ED";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\07_Inspection_documents_certificates\E-acceptance protocol";"02630EC69810463896B7382CACA347A0";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\43_Coupon\160\Test1\EPLAN_O1007";"04A2F32E8BF24903A362E563406468DB";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\230\Staeubli_C180A740";"07A31AAB949A46008AE1706679FEEEC6";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\406_Grauraum\070_Laserabgleich\LSU5.2 Selektion MAE0001W2824\Safety_Validation";"093EB6BA390646B2885326044F80C99B";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Nozzle\11_Soft\70\200\Safety_Validation";"097E7511BE9247D0A648E28928DD7518";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\MEA_HVL\St50\NEXEED_000A620\PLC";"0A685130DA81410EA47360FE8408590A";"EB3615946F9A4172A194E56AAC3F564C";"ControlPlus_CPS5.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\SettingData\TypeData";"0A9B3E64CBBC48ACA0D0901A831C0A11";"56C7E3817715414EB1772B1FAE3A1A54";"SettingData";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\IndraDrive_104A713";"0AA2A68455E844789FA423FADF2FECC4";"B4C165C587D24B57874A09F0BB119986";"IndraDrive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\60\EPLAN_MAE0001W2795-60";"0AAF7CD43ACE4439B8C2E4542A66B16B";"3E8D36E2622C4FF696EC7BE6276A7AA1";"EPLAN P8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\44_Repeat\420\BA302173477_O1003_TruLaser Cell 3000";"0ACCE89FDF6748B6B10DDFAF3725A791";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\E-Plan_O1056";"0B8ACC9B35DB4535B535CCA4C9BC6CC3";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\70\Safety_Validation_MAE0001W2795-70";"0BF177E897924629A7766BD7CA8BE6D3";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Cognex_104B851";"0CB1495783C74594992E79C89761FC23";"2763AB9E45954774991A13206C610A2F";"In-Sight";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\IndraDrive_104A712";"0CC730B4299A4F04ABCE877FA96B5D1A";"B4C165C587D24B57874A09F0BB119986";"IndraDrive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\44_Repeat\420\EPLAN_O1003";"0EDD24D331634BC0B839F72F7B939280";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\35_StackA\SL01\FCEV_Teilebereitstellungsplatz1\MAE0001W2829_FCEV_Teilebereitstellungsplatz";"129DC13D065F418A914420D8E93818A3";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\40\Sistema";"152F544FD90444DAA622E68E7FD079DC";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\230\Staeubli_C160A740";"16E28D3229834192AA1331F9C2B4242C";"899CB500D3684F61872B56F71BD11F38";"Stäubli CS8C (SRS TransferManager Skript)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\07_Inspection_documents_certificates\SafetyLightCurtains_protocol";"176C65ECF540487B8B1738077C2E0E38";"6A8DD088C1FB40AB9E447C52D4E0C4BB";"PDF_(D)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\41\(_302196216_MAE0001W2795-41_BaP-TEF_FCEV-MEA-LVL-SL01-St41_)";"184086D9BE7245AF9C7F0E6CEB5DBB7C";"56B97048E7C74A6B8D6CD6E4612881F2";"(_Equip-Nr_SP-Nr_Man-Name_O-MAE-Typ_O-Name-Plain-Text_)#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\43_Coupon\161\Test2\Sistema";"1A7FFB66D67541B8AACAD1C73C0EE31C";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\20\Sistema_MAE0001W2795-20";"1A848C75547A43198BF23BB0BDD69885";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\10\Sistema";"1C5816B46B7940CA88EC9056A8E96C18";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\DriveSnapShot";"1D89FE3636C84AA6A60A947A199E3C68";"EF23FBF2678E42728E23ADBC1F7A14E5";"DriveSnapShot";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\OPCON_000A620\HDE2_000A620";"20438D330C7C4CFEA90A829C848BE5B5";"6D612CCBD6C84D48A3D0A5282B0BAD26";"HDE2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\41\NEXEED_000A620\TortoiseHg";"22D2011DD7F14658AFAD31F83689A46C";"0FA311EBEA30478A89F1F7A160FC2A17";"TortoiseHg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\AOI-Cell_RBCD-1\Delivery_documentation\07_Inspection_documents_certificates\E-acceptance protocol";"24E65FC524424A5C808737921623E550";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\IndraDrive_100A711";"25E46FBC060B468A936F201C699BADC2";"B4C165C587D24B57874A09F0BB119986";"IndraDrive";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\43_Coupon\140\Handling\Sistema";"26B72FCE8A934FC197B8CEC0B4CD2223";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\07_Inspection_documents_certificates\RCD_protocol";"2A445F49BA03424F97C9CBC26DF02912";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.1\Eplan_MAE0001W2806-01";"2ACC473DD92E45A19A52B41139BE12A5";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\60\Sistema_MAE0001W2795-60";"2AFD4E873EDF40308FCEDC1DE088A23C";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\35_StackA\SL01\510\Validierung";"2BE238D8846D4F35ADECA9A8BE98A86E";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\06_Documentation_electrical\IT-Security_questionaire";"2F5E20C6C6834A28BEF23A836F3191D8";"A03F23EA8CC44772AA41F3BFF74F79A5";"Excel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\TEF3\Training\Roboter\Staubli_CS9\Safety_Validation";"2F8E5046A09D45C0BA56710BFD953C3D";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.4\Validierung";"328E6D05DB2D46C8AEDD6A0529011472";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\406_Grauraum\070_Laserabgleich\LSU5.2 Selektion MAE0001W2824\E-Plan_MAE0001W2824";"364F4D53C45541A88A9DA5F64C21F93A";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.3\Validierung";"366EC7185D96479EBFCB690258CAAD68";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Keyence_Scanner_101A830";"36F055D1AC1344D2BDDBA87C5500431F";"927E876868C6494F82DCD619F5909AF4";"Keyence Scanner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\50\Safety_Validation_MAE0001W2795-50";"3830E40872384A82B4A3EC332EE32F47";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SOFC\43_Coupon\160\Test1\Sistema";"38DF053BAD6E402AB21E5FAE01E4E639";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.6\Sistema";"39A5A0D815BA480F8219D0CFC78B1D6A";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\70\Sistema_MAE0001W2795-70";"3A9FA61134DB4D70ABDAEF94E936C1AE";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\30_Front\SL01\50\Sistema_MAE0001W2795-50";"3F831C42BC7E4C529533AF06F4E0E09A";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\FCEV_Stacker2\Delivery_documentation\04_Drawings_mechanical\PDF";"40A13E80AD9C41909F560B6A22D008FA";"1E29C6CDBF5A4085AA21C0A0D3F8CFAD";"PDF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\CRI3\12_SMM\12_HVL\011\Sistema_W4451";"42498C3BC9E543EDB3C6B4C8F467A195";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\20.3\Sistema";"4256E154546F44AF800DA5FECC83AB9A";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\FCEV\BPP-Montage\AOI-Cell_BaP-1\Sistema_MAE0001W2827";"42DAF4505F1C408FAB9CF9894DC828A9";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\Extern\RBCD\FCEV\AOI-Cell_RBCD-1\E-Plan_MAE0001W2828";"43A21781E2BA412C8381098DB4B8DD80";"578D38BD5AB34D94ABDC540F327CC9B3";"E-Plan#";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\SE\TP3\TL01\40\Validierung";"43E59301C6574AC081FA812F531D097D";"D75DB95E6B8D4D6197F3CEC05CE14ED7";"Documentation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"\BMB\HDEV6\545\PLC_000A620";"4616BABEF9D44560B299F113D903E0EF";"44EF6F4AC8FE4F05AB06EABDF1373431";"OpConplus_OES4.x";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
